,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,importance
var3,8.70E-05,-3.58E-06,8.35E-05,11.68458315,1
var15,0.000724598,0.004720952,0.000877874,203.1221868,1
imp_ent_var16_ult1,0.000266369,-0.00052552,0.000236095,18.06104756,1
imp_op_var39_comer_ult1,0.00231857,-0.002045674,0.002151483,28.95479472,1
imp_op_var39_comer_ult3,0.00274637,-0.00273971,0.002536325,33.67240734,1
imp_op_var40_comer_ult1,-4.82E-06,-6.25E-06,-4.87E-06,0.860679407,0
imp_op_var40_comer_ult3,2.24E-06,-6.21E-07,2.15E-06,1.110859806,0
imp_op_var40_efect_ult1,-4.75E-06,0.000133263,5.33E-07,2.300477057,0
imp_op_var40_efect_ult3,-4.17E-06,9.74E-05,-2.29E-07,1.909696906,0
imp_op_var40_ult1,-6.33E-07,-2.18E-06,-6.91E-07,1.059713392,0
imp_op_var41_efect_ult1,0.000949758,-0.000532867,0.000893052,25.95578501,1
imp_op_var41_efect_ult3,0.001513082,-0.000721549,0.001427363,33.09526611,1
imp_op_var41_ult1,0.002780673,-0.002748591,0.002569016,36.4610426,1
imp_sal_var16_ult1,5.68E-06,3.96E-06,5.62E-06,2.155501146,0
ind_var1,1.21E-06,8.10E-06,1.47E-06,0.56904677,0
ind_var5_0,0.00042378,-0.00080373,0.000376758,3.180059504,1
ind_var5,0.0037269,-0.007783793,0.003285437,7.960091283,1
ind_var6_0,8.05E-08,0,7.75E-08,0.00868121,0
ind_var6,0,0,0,0.002533333,0
ind_var8,0.000424778,-0.000617842,0.000384774,1.667162448,0
ind_var12_0,0.000919869,-0.001227133,0.000837639,4.138296169,1
ind_var13_largo,1.66E-05,6.24E-06,1.62E-05,0.38388611,0
ind_var13_medio_0,0,0,0,1.81E-05,0
ind_var13,0.000836946,0.000103383,0.000808914,3.306498108,1
ind_var14_0,4.84E-05,-1.22E-05,4.60E-05,1.462646561,0
ind_var14,8.35E-06,4.08E-06,8.18E-06,0.653316599,0
ind_var17_0,-1.28E-09,-2.04E-06,-7.84E-08,0.203767499,0
ind_var17,-2.42E-07,0,-2.32E-07,0.185932042,0
ind_var19,-2.00E-06,-1.92E-06,-2.01E-06,0.687169628,0
ind_var20_0,5.68E-06,2.04E-06,5.54E-06,0.178135728,0
ind_var20,4.98E-06,2.01E-06,4.87E-06,0.013179002,0
ind_var24_0,0.000530089,-0.000899018,0.000475362,3.149257486,1
ind_var24,0.000482064,-0.000192939,0.000456287,1.61808956,0
ind_var25_cte,0.000180484,-0.000282703,0.000162769,2.814161406,0
ind_var25_0,0.000119501,-0.000106629,0.00011078,2.088502428,0
ind_var30_0,8.23E-05,-4.55E-05,7.74E-05,1.717122759,0
ind_var30,0.003096348,-0.004406073,0.002808231,19.23864811,1
ind_var31_0,1.20E-06,0,1.16E-06,0.176224066,0
ind_var31,1.04E-06,0,1.00E-06,0.143088739,0
ind_var32_cte,1.01E-05,4.43E-06,9.88E-06,1.565634393,0
ind_var33,8.03E-08,0,7.72E-08,0.012056172,0
ind_var37_cte,0.000157927,-0.000398433,0.000136714,5.814983618,1
ind_var37_0,0.000220239,-0.000574489,0.000190246,4.927102075,1
ind_var39_0,0.000257213,-0.000529145,0.000226965,4.251540058,1
ind_var44,0,0,0,0.015840922,0
num_var1_0,1.31E-06,2.34E-05,2.11E-06,2.84973305,0
num_var4,0.003519661,-0.007514668,0.003098427,27.77437619,1
num_var5_0,0.000436387,-0.000768502,0.000390077,6.49939939,1
num_var8_0,0.00078362,-0.001089633,0.000711907,5.864641572,1
num_var12_0,0.000680141,-0.00094343,0.000617919,5.078944573,1
num_var13_corto,0.000263342,-5.14E-05,0.000251212,1.809587402,0
num_var13_largo,1.16E-05,0,1.12E-05,0.358257039,0
num_var14_0,2.28E-05,-3.45E-06,2.18E-05,1.86070601,0
num_var17_0,-8.09E-08,0,-7.77E-08,0.180710261,0
num_var17,4.02E-07,-1.95E-06,3.09E-07,0.174386683,0
num_var25_0,9.16E-05,-8.85E-05,8.47E-05,3.840840516,1
